Date,Name,Year,Letterboxd URI,Rating
2024-03-27,End of Watch,2012,https://boxd.it/2F5O,4.5
2024-04-03,The Royal Tenenbaums,2001,https://boxd.it/1YHU,3.5
2024-04-03,There Will Be Blood,2007,https://boxd.it/20Z2,5
2024-04-03,Whiplash,2014,https://boxd.it/7bQA,5
2024-04-13,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,3.5
2024-04-13,WALL·E,2008,https://boxd.it/1VEo,4.5
2024-04-14,Guns Akimbo,2019,https://boxd.it/gkFu,1
2024-04-17,Murder Party,2021,https://boxd.it/wBfU,1.5
2024-04-17,Marriage Story,2019,https://boxd.it/hJAw,4.5
2024-04-28,Mickey Mouse Clubhouse: Mickey's Adventures in Wonderland,2009,https://boxd.it/8BBo,3.5
2024-04-29,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2024-04-29,The Nightingale,2018,https://boxd.it/e1Ga,4
2024-04-30,Pride & Prejudice,2005,https://boxd.it/24u8,4
2024-05-02,Mulholland Drive,2001,https://boxd.it/297o,5
2024-05-08,The Talented Mr. Ripley,1999,https://boxd.it/2924,4
2024-05-15,The Lobster,2015,https://boxd.it/7tnw,4
2024-05-15,Ex Machina,2015,https://boxd.it/7T2k,4
2024-05-15,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4.5
2024-05-16,The Incredibles,2004,https://boxd.it/1XLm,4
2024-05-17,Don't Look Up,2021,https://boxd.it/o0Hc,1
2024-05-19,The Squid and the Whale,2005,https://boxd.it/1VAG,3.5
2024-05-20,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2024-06-04,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2024-06-09,The Banshees of Inisherin,2022,https://boxd.it/p7XS,5
2024-06-10,Gone Girl,2014,https://boxd.it/6hQu,4.5
2024-06-10,Call Me by Your Name,2017,https://boxd.it/dYmm,2.5
2024-06-12,Cold Mountain,2003,https://boxd.it/270A,3.5
2024-06-12,Petite Maman,2021,https://boxd.it/s6je,3.5
2024-06-12,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3.5
2024-06-12,Pokémon Heroes,2002,https://boxd.it/1eHE,3.5
2024-06-12,Toy Story 4,2019,https://boxd.it/9ALu,3
2024-06-12,Coco,2017,https://boxd.it/bYJQ,3.5
2024-06-12,Up,2009,https://boxd.it/1OEc,3.5
2024-06-12,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4.5
2024-06-13,Drive,2011,https://boxd.it/IG,3
2024-06-14,The Irishman,2019,https://boxd.it/dYOq,4
2024-06-17,Mean Girls,2004,https://boxd.it/1VNg,3
2024-06-18,Dumb Money,2023,https://boxd.it/tNdU,3
2024-06-19,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2024-06-21,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2024-06-21,Under Paris,2024,https://boxd.it/BQFe,2.5
2024-06-29,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4.5
2024-06-29,Like Mike,2002,https://boxd.it/1Beq,2.5
2024-06-30,Brokeback Mountain,2005,https://boxd.it/2b2q,4
2024-07-02,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2024-07-02,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2024-07-02,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,2.5
2024-07-03,The Inbetweeners Movie,2011,https://boxd.it/2v50,3.5
2024-07-03,Avengers: Endgame,2019,https://boxd.it/9vE4,4
2024-07-03,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2024-07-03,Lightyear,2022,https://boxd.it/qV1G,2
2024-07-04,Superbad,2007,https://boxd.it/20hO,2.5
